datetime,actual_value,xgboost_forecast,lightgbm_forecast,gradient_boosting_forecast,catboost_forecast,adaboost_forecast,lstm_forecast
2025-12-20 08:00:00,8.9,12.247175,11.261152266400847,11.735148566689018,10.823434838436684,13.416680429508771,12.94
2025-12-20 08:30:00,8.1,11.862078,10.312163128973776,11.622966086638431,10.107563724199656,13.01979998436281,12.02
2025-12-20 09:00:00,8.1,11.425669,9.989048097931285,11.036802987556236,11.52406720461032,11.92740603463244,11.79
2025-12-20 09:30:00,8.0,10.322212,8.498179130479782,9.88464457578481,10.85358684372857,9.923783820866312,11.06
2025-12-20 10:00:00,8.11,9.566416,8.68774628833327,9.159551308773088,9.995014986956113,9.3928986954622,10.69
2025-12-20 10:30:00,6.36,8.567591,7.869914084592111,8.425781122665347,7.959246085678949,8.563749655695103,10.9
2025-12-20 11:00:00,6.36,8.455262,7.822471578560446,8.20389921403867,8.423685756911695,7.881227447724293,10.12
2025-12-20 11:30:00,6.36,8.385046,7.987753355106089,8.501846257354261,9.51874724659195,7.748290504544496,10.29
2025-12-20 12:00:00,6.36,8.071884,8.073458805323934,8.128883916599936,8.130820511555905,7.0607999930633865,9.88
2025-12-20 12:30:00,6.21,8.16791,7.318173449594785,8.374148961970779,6.788505096005368,7.0607999930633865,9.74
2025-12-20 13:00:00,6.21,9.420587,8.621198442684483,9.121123562729547,8.65054578408092,7.732856686639216,10.44
2025-12-20 13:30:00,6.21,9.792941,8.423106541260747,9.227849010788283,10.46660263101225,7.867405281821788,10.22
2025-12-20 14:00:00,8.52,9.881185,9.24073986234731,9.380483368568928,9.993195092107852,7.881227447724293,11.04
2025-12-20 14:30:00,9.46,10.3274355,9.978937913045607,9.635404892025704,9.919449775474677,9.85456210447275,11.49
2025-12-20 15:00:00,9.7,10.5546465,10.548996757539015,10.309785715012346,11.123604942477344,10.83139720349999,11.67
2025-12-20 15:30:00,9.88,12.630483,11.78859354556956,13.375187647597835,11.8067860519878,13.26825176602713,14.07
2025-12-20 16:00:00,9.86,12.738283,13.0274858794432,12.766820086478775,12.64272097526949,13.582660166769609,13.57
2025-12-20 16:30:00,10.01,14.015111,14.099629320406244,14.03853636597213,12.937163968676389,14.042991815402171,14.59
2025-12-20 17:00:00,10.01,13.06647,13.310402105159664,13.435687366897737,12.332711301834244,13.582660166769609,13.47
2025-12-20 17:30:00,9.92,13.447827,13.3470277959329,13.51870524350574,12.657543075245876,13.56279419354775,13.38
2025-12-20 18:00:00,10.11,13.145344,12.938123940625276,13.360138031475971,12.954015782832892,13.47445693785932,13.21
2025-12-20 18:30:00,9.86,13.001678,12.723156071619846,13.099271164643676,12.890254695576337,13.56279419354775,12.98
2025-12-20 19:00:00,9.88,12.912044,12.723156071619846,13.332046941321178,12.160487305833874,13.44797740639606,12.58
2025-12-20 19:30:00,9.77,12.612383,12.330147071670964,13.089592861486876,12.097663725466084,13.435627095734118,12.37
2025-12-20 20:00:00,9.63,12.351785,12.003738606827667,14.484827139157815,12.149234642429793,13.435627095734118,12.21
2025-12-20 20:30:00,9.72,11.944255,11.685540304314188,12.699252976412602,11.688519901139404,13.14773625598477,12.06
2025-12-20 21:00:00,9.7,11.944255,11.458675402732023,12.582934937328124,11.54877387500335,13.202264496687464,12.03
2025-12-20 21:30:00,9.62,11.681692,11.341141810960965,12.113631936915755,10.760882314537342,13.01979998436281,11.79
